gender,gender_num,race/ethnicity,race/ethnicity_num,parental level of education,ple_num,lunch,lunch_num,test preparation course,testprepcourse_num,math score,reading score,writing score,,,,,,,,,,,,,,,,,,,,,,,,,,,
female,0,group B,2,bachelor's degree,3,standard,0,none,0,0.62,0.61,0.65,,EXPLORATORY DATA ANALYSIS,,,,,DATA PREPROCESSING,,,,,,,,,,,,,,,,,,,,
female,0,group C,3,some college,4,standard,0,completed,1,0.58,0.86,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
female,0,group B,2,master's degree,1,standard,0,none,0,0.87,0.93,0.91,,1. No missing values found,,,,,1. No missing values to handle,,,,,,3. Transform Categorical data into Numerical,,,4. Normalize Numerical Features,,,,,,,,,,,
male,1,group A,1,associate's degree,2,free/reduced,1,none,0,0.28,0.4,0.24,,2. No duplicates found,,,,,2. Handling outliers,,,,,,,,,,,,,,,,,,,,
male,1,group C,3,some college,4,standard,0,none,0,0.68,0.7,0.66,,3. Summary of Numerical Features:,,,,,,,,,,,Tranforming Categorical to Numerical ,,,,Normalization (Min-Max),,,,,Normalized Data (Sorted),,,,,
female,0,group B,2,associate's degree,2,standard,0,none,0,0.61,0.77,0.7,,,,,,,,Interquartile Range,,,,,Female,0,,,,Math,Reading,Writing,,math score,reading score,writing score,,,
female,0,group B,2,some college,4,standard,0,completed,1,0.84,0.93,0.9,,Descriptive Statistics,Numerical Features,,,,,,Math Score,Reading Score,Writing Score,,Male,1,,,Maximum,100,100,100,,0,0,0,,,
male,1,group B,2,some college,4,free/reduced,1,none,0,0.18,0.2,0.17,,,Math Score,Reading Score,Writing Score,,,Q1,0.42,0.43,0.4275,,,,,,Minimum,27,29,27,,0,0,0,,,
male,1,group D,4,high school,5,free/reduced,1,completed,1,0.51,0.5,0.55,,Mean,0.55,0.58,0.57,,,Q3,0.69,0.71,0.72,,Group A,1,,,,,,,,0,0,0,,,
female,0,group B,2,high school,5,free/reduced,1,none,0,0.16,0.44,0.32,,Median,0.54,0.58,0.58,,,IQR,0.27,0.28,0.2925,,Group B,2,,,,,,,,0,0,0,,,
male,1,group C,3,associate's degree,2,standard,0,none,0,0.43,0.36,0.35,,Min,0,0,0,,,Upper Bound,1.095,1.13,1.16,,Group C,3,,,,,,,,0,0.02,0,,,
male,1,group D,4,associate's degree,2,standard,0,none,0,0.18,0.33,0.22,,Max,1,1,1,,,Lower Bound,0.015,0.02,-0.02,,Group D,4,,,,,,,,0,0.02,0,,,
female,0,group B,2,high school,5,standard,0,none,0,0.53,0.74,0.64,,Standard Deviation,0.21,0.21,0.21,,,,,,,,Group E,5,,,,,,,,0,0.02,0,,,
male,1,group A,1,some college,4,standard,0,completed,1,0.7,0.61,0.59,,,,,,,,,,,,,,,,,,,,,,0,0.02,0,,,
female,0,group A,1,master's degree,1,standard,0,none,0,0.32,0.34,0.43,,,,,,,,,,,,,master's degree,1,,,,,,,,0,0.03,0.02,,,
female,0,group C,3,some high school,6,standard,0,none,0,0.58,0.65,0.7,,GRAPHS:,,,,,,,,,,,associate's degree,2,,,,,,,,0,0.03,0.05,,,
male,1,group C,3,high school,5,standard,0,none,0,0.84,0.85,0.81,,,,,,,,,,,,,bachelor's degree,3,,,,,,,,0.02,0.05,0.07,,,
female,0,group B,2,some high school,6,free/reduced,1,none,0,0,0.05,0.02,,,,,,,,,,,,,some college,4,,,,,,,,0.03,0.08,0.07,,,
male,1,group C,3,master's degree,1,free/reduced,1,completed,1,0.27,0.19,0.27,,,,,,,,,,,,,high school,5,,,,,,,,0.03,0.08,0.09,,,
female,0,group C,3,associate's degree,2,free/reduced,1,none,0,0.37,0.41,0.47,,,,,,,,,,,,,some high school,6,,,,,,,,0.03,0.08,0.09,,,
male,1,group D,4,high school,5,standard,0,none,0,0.54,0.57,0.5,,,,,,,,,,,,,,,,,,,,,,0.05,0.08,0.1,,,
female,0,group B,2,some college,4,free/reduced,1,completed,1,0.53,0.65,0.59,,,,,,,,,,,,,standard,0,,,,,,,,0.05,0.12,0.1,,,
male,1,group D,4,some college,4,standard,0,none,0,0.24,0.36,0.36,,,,,,,,,,,,,free/reduced,1,,,,,,,,0.07,0.12,0.1,,,
female,0,group C,3,some high school,6,standard,0,none,0,0.58,0.62,0.64,,,,,,,,,,,,,,,,,,,,,,0.07,0.12,0.11,,,
male,1,group D,4,bachelor's degree,3,free/reduced,1,completed,1,0.65,0.6,0.73,,,,,,,,,,,,,none,0,,,,,,,,0.07,0.13,0.13,,,
male,1,group A,1,master's degree,1,free/reduced,1,none,0,0.64,0.64,0.62,,,,,,,,,,,,,completed,1,,,,,,,,0.09,0.13,0.13,,,
male,1,group B,2,some college,4,standard,0,none,0,0.58,0.36,0.39,,,,,,,,,,,,,,,,,,,,,,0.1,0.15,0.13,,,
female,0,group C,3,bachelor's degree,3,standard,0,none,0,0.55,0.57,0.66,,,,,,,,,,,,,,,,,,,,,,0.1,0.15,0.13,,,
male,1,group C,3,high school,5,standard,0,none,0,0.59,0.58,0.53,,,,,,,,,,,,,,,,,,,,,,0.11,0.15,0.14,,,
female,0,group D,4,master's degree,1,standard,0,none,0,0.48,0.58,0.66,,,,,,,,,,,,,,,,,,,,,,0.11,0.15,0.14,,,
female,0,group D,4,some college,4,standard,0,none,0,0.58,0.64,0.65,,,,,,,,,,,,,,,,,,,,,,0.11,0.15,0.16,,,
female,0,group B,2,some college,4,standard,0,none,0,0.5,0.51,0.47,,,,,,,,,,,,,,,,,,,,,,0.11,0.15,0.16,,,
female,0,group E,5,master's degree,1,free/reduced,1,none,0,0.4,0.61,0.53,,,,,,,,,,,,,,,,,,,,,,0.11,0.16,0.16,,,
male,1,group D,4,some college,4,standard,0,none,0,0.18,0.19,0.16,,,,,,,,,,,,,,,,,,,,,,0.13,0.17,0.16,,,
